Fecha	Horas cursada/estudio/reuniones	Cantidad de pasos	Horas sue単o	Sue単o profundo	Sue単o liviano	Sue単o puntaje
24/8/2021	8	2170	7.22	2.12	5.1	88
25/8/2021	3	12149	8.02	2.4	5.22	97
26/8/2021	8	10743	7.54	1.4	6.14	92
27/8/2021	8	2624	8.38	2.47	5.51	89
28/8/2021	5	5309	6.5	1.45	5.05	86
29/8/2021			8.25	2.5	5.35	88
30/8/2021						
31/8/2021						
1/9/2021						
2/9/2021						
3/9/2021						
4/9/2021						
5/9/2021						
6/9/2021						
7/9/2021						
8/9/2021						
9/9/2021						
10/9/2021						
11/9/2021						
12/9/2021						
13/9/2021						
14/9/2021						
15/9/2021						
16/9/2021						
17/9/2021						
18/9/2021						
19/9/2021						
20/9/2021						
21/9/2021						
22/9/2021						
23/9/2021						
